"Download"
"Primary Census Abstract, 2011"
"Madhya Pradesh, Indore District, Indore Sub-District"
"No. of households: 4,82,493"
"S. No.","Indicators","Persons","Males","Females"
"1","Population","23,89,511","12,41,079","11,48,432"
"2","Child Population","2,95,716","1,56,013","1,39,703"
"3","Scheduled Castes","3,79,348","1,95,613","1,83,735"
"4","Scheduled Tribes","1,00,332","52,329","48,003"
"5","Literate","17,58,546","9,62,787","7,95,759"
"6","Illiterate","6,30,965","2,78,292","3,52,673"
"7","Workers","8,82,347","6,83,621","1,98,726"
"8","Non Workers","15,07,164","5,57,458","9,49,706"
